,0,1,2,3
0,Adilabad,The Candidate,Important,0.32064128256513025
1,Adilabad,The Candidate,Not Important,0.39478957915831664
2,Adilabad,The Candidate,Very Important,0.2845691382765531
3,Adilabad,Candidate's Party,Very Important,0.31462925851703405
4,Adilabad,Candidate's Party,Not Important,0.3186372745490982
5,Adilabad,Candidate's Party,Important,0.3667334669338677
6,Adilabad,Candidate's Caste/Religion,Not Important,0.3787575150300601
7,Adilabad,Candidate's Caste/Religion,Important,0.46693386773547096
8,Adilabad,Candidate's Caste/Religion,Very Important,0.15030060120240482
9,Adilabad,Agri Loan,MEDIAN,4.444444444
10,Adilabad,Electricity for Agriculture,MEDIAN,6.666666667
11,Adilabad,Support Price for Agri Prod,MEDIAN,4.444444444
12,Adilabad,Irrigation Programmes,MEDIAN,6.666666667
13,Adilabad,Seeds & Fertilizers Subsidy,MEDIAN,6.666666667
14,Adilabad,Accessibility of MP,MEDIAN,4.444444444
15,Adilabad,Anti-Terrorism,MEDIAN,6.666666667
16,Adilabad,Better Employment,MEDIAN,6.666666667
17,Adilabad,Better Electric Supply,MEDIAN,6.666666667
18,Adilabad,Better Hospitals / Primary Healthcare Centres,MEDIAN,6.666666667
19,Adilabad,Better Law and Order / Policing,MEDIAN,6.666666667
20,Adilabad,Better Public Transport,MEDIAN,6.666666667
21,Adilabad,Better Roads,MEDIAN,6.666666667
22,Adilabad,Better Schools,MEDIAN,6.666666667
23,Adilabad,Drinking Water,MEDIAN,6.666666667
24,Adilabad,Empowerment of Women,MEDIAN,6.666666667
25,Adilabad,Environmental issues,MEDIAN,6.666666667
26,Adilabad,Eradication of Corruption,MEDIAN,6.666666667
27,Adilabad,Reservation for Jobs and Education,MEDIAN,6.666666667
28,Adilabad,Security for Women,MEDIAN,6.666666667
29,Adilabad,Strong Defence/Military,MEDIAN,6.666666667
30,Adilabad,Subsidized Food Distribution,MEDIAN,6.666666667
31,Adilabad,Jobs Training,MEDIAN,6.666666667
32,Adilabad,Trustworthiness of MP,MEDIAN,4.444444444
33,Adilabad,Other,MEDIAN,4.444444444
34,Adilabad,Better Garbage Clearance,MEDIAN,
35,Adilabad,Encroachment of Public Lands / Lakes etc,MEDIAN,
36,Adilabad,Facility for Pedestrians and Cyclists on Roads,MEDIAN,
37,Adilabad,Lower Food Prices for Consumers,MEDIAN,
38,Adilabad,Traffic Congestion,MEDIAN,
39,Amalapuram,The Candidate,Important,0.32938856015779094
40,Amalapuram,The Candidate,Not Important,0.1854043392504931
41,Amalapuram,The Candidate,Very Important,0.4260355029585799
42,Amalapuram,Candidate's Party,Very Important,0.1203155818540434
43,Amalapuram,Candidate's Party,Not Important,0.28994082840236685
44,Amalapuram,Candidate's Party,Important,0.5088757396449705
45,Amalapuram,Candidate's Caste/Religion,Not Important,0.28007889546351084
46,Amalapuram,Candidate's Caste/Religion,Important,0.5108481262327417
47,Amalapuram,Candidate's Caste/Religion,Very Important,0.1222879684418146
48,Amalapuram,Agri Loan,MEDIAN,3.333333333
49,Amalapuram,Electricity for Agriculture,MEDIAN,3.333333333
50,Amalapuram,Support Price for Agri Prod,MEDIAN,3.333333333
51,Amalapuram,Irrigation Programmes,MEDIAN,4.444444444
52,Amalapuram,Seeds & Fertilizers Subsidy,MEDIAN,6.666666667
53,Amalapuram,Accessibility of MP,MEDIAN,2.222222222
54,Amalapuram,Anti-Terrorism,MEDIAN,3.333333333
55,Amalapuram,Better Employment,MEDIAN,4.444444444
56,Amalapuram,Better Electric Supply,MEDIAN,3.333333333
57,Amalapuram,Better Hospitals / Primary Healthcare Centres,MEDIAN,4.444444444
58,Amalapuram,Better Law and Order / Policing,MEDIAN,4.444444444
59,Amalapuram,Better Public Transport,MEDIAN,3.333333333
