,0,1,2,3
0,No Education,The Candidate,Important,0.39257308781358774
1,No Education,The Candidate,Not Important,0.18069507818276914
2,No Education,The Candidate,Very Important,0.4060454127364871
3,No Education,Candidate's Party,Very Important,0.22195970927191733
4,No Education,Candidate's Party,Not Important,0.250112720255379
5,No Education,Candidate's Party,Important,0.5067000919797284
6,No Education,Candidate's Caste/Religion,Not Important,0.6196187350082061
7,No Education,Candidate's Caste/Religion,Important,0.247245116958537
8,No Education,Candidate's Caste/Religion,Very Important,0.10913124244774289
9,No Education,Agri Loan,MEDIAN,3.333333333
10,No Education,Electricity for Agriculture,MEDIAN,3.333333333
11,No Education,Support Price for Agri Prod,MEDIAN,3.333333333
12,No Education,Irrigation Programmes,MEDIAN,3.333333333
13,No Education,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
14,No Education,Accessibility of MP,MEDIAN,3.333333333
15,No Education,Anti-Terrorism,MEDIAN,3.333333333
16,No Education,Better Employment,MEDIAN,3.333333333
17,No Education,Better Electric Supply,MEDIAN,3.333333333
18,No Education,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
19,No Education,Better Law and Order / Policing,MEDIAN,3.333333333
20,No Education,Better Public Transport,MEDIAN,3.333333333
21,No Education,Better Roads,MEDIAN,3.333333333
22,No Education,Better Schools,MEDIAN,3.333333333
23,No Education,Drinking Water,MEDIAN,3.333333333
24,No Education,Empowerment of Women,MEDIAN,3.333333333
25,No Education,Environmental issues,MEDIAN,3.333333333
26,No Education,Eradication of Corruption,MEDIAN,3.333333333
27,No Education,Reservation for Jobs and Education,MEDIAN,3.333333333
28,No Education,Security for Women,MEDIAN,3.333333333
29,No Education,Strong Defence/Military,MEDIAN,3.333333333
30,No Education,Subsidized Food Distribution,MEDIAN,3.333333333
31,No Education,Jobs Training,MEDIAN,3.333333333
32,No Education,Trustworthiness of MP,MEDIAN,3.333333333
33,No Education,Other,MEDIAN,4.444444444
34,No Education,Better Garbage Clearance,MEDIAN,3.333333333
35,No Education,Encroachment of Public Lands / Lakes etc,MEDIAN,3.333333333
36,No Education,Facility for Pedestrians and Cyclists on Roads,MEDIAN,3.333333333
37,No Education,Lower Food Prices for Consumers,MEDIAN,3.333333333
38,No Education,Traffic Congestion,MEDIAN,4.444444444
39,High School,The Candidate,Important,0.33556386538083055
40,High School,The Candidate,Not Important,0.27235452338778454
41,High School,The Candidate,Very Important,0.34916027028800106
42,High School,Candidate's Party,Very Important,0.25841369809092696
43,High School,Candidate's Party,Not Important,0.21539395132191827
44,High School,Candidate's Party,Important,0.4882405038378272
45,High School,Candidate's Caste/Religion,Not Important,0.5295217476874631
