,0,1,2,3
0,Yes,The Candidate,Important,0.30618892508143325
1,Yes,The Candidate,Not Important,0.2216744431728145
2,Yes,The Candidate,Very Important,0.4418522757284972
3,Yes,Candidate's Party,Very Important,0.2744079584470464
4,Yes,Candidate's Party,Not Important,0.23523197464565543
5,Yes,Candidate's Party,Important,0.4628928602869971
6,Yes,Candidate's Caste/Religion,Not Important,0.5923056607095695
7,Yes,Candidate's Caste/Religion,Important,0.21480764151773923
8,Yes,Candidate's Caste/Religion,Very Important,0.15423892948322915
9,Yes,Agri Loan,MEDIAN,3.333333333
10,Yes,Electricity for Agriculture,MEDIAN,4.444444444
11,Yes,Support Price for Agri Prod,MEDIAN,4.444444444
12,Yes,Irrigation Programmes,MEDIAN,4.444444444
13,Yes,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
14,Yes,Accessibility of MP,MEDIAN,3.333333333
15,Yes,Anti-Terrorism,MEDIAN,4.444444444
16,Yes,Better Employment,MEDIAN,4.444444444
17,Yes,Better Electric Supply,MEDIAN,4.444444444
18,Yes,Better Hospitals / Primary Healthcare Centres,MEDIAN,4.444444444
19,Yes,Better Law and Order / Policing,MEDIAN,4.444444444
20,Yes,Better Public Transport,MEDIAN,4.444444444
21,Yes,Better Roads,MEDIAN,4.444444444
22,Yes,Better Schools,MEDIAN,4.444444444
23,Yes,Drinking Water,MEDIAN,4.444444444
24,Yes,Empowerment of Women,MEDIAN,4.444444444
25,Yes,Environmental issues,MEDIAN,4.444444444
26,Yes,Eradication of Corruption,MEDIAN,3.333333333
27,Yes,Reservation for Jobs and Education,MEDIAN,4.444444444
28,Yes,Security for Women,MEDIAN,4.444444444
29,Yes,Strong Defence/Military,MEDIAN,4.444444444
30,Yes,Subsidized Food Distribution,MEDIAN,4.444444444
31,Yes,Jobs Training,MEDIAN,3.333333333
32,Yes,Trustworthiness of MP,MEDIAN,4.444444444
33,Yes,Other,MEDIAN,4.444444444
34,Yes,Better Garbage Clearance,MEDIAN,3.333333333
35,Yes,Encroachment of Public Lands / Lakes etc,MEDIAN,4.444444444
36,Yes,Facility for Pedestrians and Cyclists on Roads,MEDIAN,4.444444444
37,Yes,Lower Food Prices for Consumers,MEDIAN,4.444444444
38,Yes,Traffic Congestion,MEDIAN,4.444444444
39,yes,The Candidate,Important,0.34265734265734266
40,yes,The Candidate,Not Important,0.11888111888111888
41,yes,The Candidate,Very Important,0.5384615384615384
42,yes,Candidate's Party,Very Important,0.23776223776223776
43,yes,Candidate's Party,Not Important,0.32167832167832167
44,yes,Candidate's Party,Important,0.4405594405594406
45,yes,Candidate's Caste/Religion,Not Important,0.8111888111888111
46,yes,Candidate's Caste/Religion,Important,0.15384615384615385
47,yes,Candidate's Caste/Religion,Very Important,0.03496503496503497
48,yes,Agri Loan,MEDIAN,3.333333333
49,yes,Electricity for Agriculture,MEDIAN,3.333333333
50,yes,Support Price for Agri Prod,MEDIAN,3.333333333
51,yes,Irrigation Programmes,MEDIAN,3.333333333
52,yes,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
53,yes,Accessibility of MP,MEDIAN,3.333333333
54,yes,Anti-Terrorism,MEDIAN,3.333333333
55,yes,Better Employment,MEDIAN,3.333333333
56,yes,Better Electric Supply,MEDIAN,4.444444444
57,yes,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
58,yes,Better Law and Order / Policing,MEDIAN,3.333333333
59,yes,Better Public Transport,MEDIAN,3.333333333
60,yes,Better Roads,MEDIAN,3.333333333
61,yes,Better Schools,MEDIAN,3.333333333
62,yes,Drinking Water,MEDIAN,3.333333333
63,yes,Empowerment of Women,MEDIAN,3.333333333
64,yes,Environmental issues,MEDIAN,3.333333333
65,yes,Eradication of Corruption,MEDIAN,3.333333333
66,yes,Reservation for Jobs and Education,MEDIAN,3.333333333
67,yes,Security for Women,MEDIAN,3.333333333
68,yes,Strong Defence/Military,MEDIAN,3.333333333
69,yes,Subsidized Food Distribution,MEDIAN,3.333333333
70,yes,Jobs Training,MEDIAN,3.333333333
71,yes,Trustworthiness of MP,MEDIAN,3.333333333
72,yes,Other,MEDIAN,3.333333333
73,yes,Better Garbage Clearance,MEDIAN,
74,yes,Encroachment of Public Lands / Lakes etc,MEDIAN,
75,yes,Facility for Pedestrians and Cyclists on Roads,MEDIAN,
76,yes,Lower Food Prices for Consumers,MEDIAN,
77,yes,Traffic Congestion,MEDIAN,
