,0,1,2,3
0,Semi-Pucca,The Candidate,Important,0.3098595120961607
1,Semi-Pucca,The Candidate,Not Important,0.324237967236395
2,Semi-Pucca,The Candidate,Very Important,0.3113810417406299
3,Semi-Pucca,Candidate's Party,Very Important,0.2812040371253233
4,Semi-Pucca,Candidate's Party,Not Important,0.16282903078561647
5,Semi-Pucca,Candidate's Party,Important,0.497743064360704
6,Semi-Pucca,Candidate's Caste/Religion,Not Important,0.40543693259623675
7,Semi-Pucca,Candidate's Caste/Religion,Important,0.2926915859410661
8,Semi-Pucca,Candidate's Caste/Religion,Very Important,0.23423948876603945
9,Semi-Pucca,Agri Loan,MEDIAN,3.333333333
10,Semi-Pucca,Electricity for Agriculture,MEDIAN,4.444444444
11,Semi-Pucca,Support Price for Agri Prod,MEDIAN,4.444444444
12,Semi-Pucca,Irrigation Programmes,MEDIAN,4.444444444
13,Semi-Pucca,Seeds & Fertilizers Subsidy,MEDIAN,4.444444444
14,Semi-Pucca,Accessibility of MP,MEDIAN,3.333333333
15,Semi-Pucca,Anti-Terrorism,MEDIAN,4.444444444
16,Semi-Pucca,Better Employment,MEDIAN,4.444444444
17,Semi-Pucca,Better Electric Supply,MEDIAN,4.444444444
18,Semi-Pucca,Better Hospitals / Primary Healthcare Centres,MEDIAN,4.444444444
19,Semi-Pucca,Better Law and Order / Policing,MEDIAN,4.444444444
20,Semi-Pucca,Better Public Transport,MEDIAN,4.444444444
21,Semi-Pucca,Better Roads,MEDIAN,4.444444444
22,Semi-Pucca,Better Schools,MEDIAN,4.444444444
23,Semi-Pucca,Drinking Water,MEDIAN,4.444444444
24,Semi-Pucca,Empowerment of Women,MEDIAN,4.444444444
25,Semi-Pucca,Environmental issues,MEDIAN,4.444444444
26,Semi-Pucca,Eradication of Corruption,MEDIAN,4.444444444
27,Semi-Pucca,Reservation for Jobs and Education,MEDIAN,4.444444444
28,Semi-Pucca,Security for Women,MEDIAN,4.444444444
29,Semi-Pucca,Strong Defence/Military,MEDIAN,4.444444444
30,Semi-Pucca,Subsidized Food Distribution,MEDIAN,4.444444444
31,Semi-Pucca,Jobs Training,MEDIAN,4.444444444
32,Semi-Pucca,Trustworthiness of MP,MEDIAN,4.444444444
33,Semi-Pucca,Other,MEDIAN,4.444444444
34,Semi-Pucca,Better Garbage Clearance,MEDIAN,3.333333333
35,Semi-Pucca,Encroachment of Public Lands / Lakes etc,MEDIAN,4.444444444
36,Semi-Pucca,Facility for Pedestrians and Cyclists on Roads,MEDIAN,4.444444444
37,Semi-Pucca,Lower Food Prices for Consumers,MEDIAN,4.444444444
38,Semi-Pucca,Traffic Congestion,MEDIAN,4.444444444
39,Pucca,The Candidate,Important,0.34803083867096285
40,Pucca,The Candidate,Not Important,0.20821320949163155
41,Pucca,The Candidate,Very Important,0.4218662353079301
42,Pucca,Candidate's Party,Very Important,0.26184171047653837
43,Pucca,Candidate's Party,Not Important,0.23537315574572445
44,Pucca,Candidate's Party,Important,0.4798778976479643
45,Pucca,Candidate's Caste/Religion,Not Important,0.584904183570972
46,Pucca,Candidate's Caste/Religion,Important,0.23949541463923713
47,Pucca,Candidate's Caste/Religion,Very Important,0.1480882372125181
48,Pucca,Agri Loan,MEDIAN,3.333333333
49,Pucca,Electricity for Agriculture,MEDIAN,4.444444444
50,Pucca,Support Price for Agri Prod,MEDIAN,3.333333333
51,Pucca,Irrigation Programmes,MEDIAN,4.444444444
52,Pucca,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
53,Pucca,Accessibility of MP,MEDIAN,3.333333333
54,Pucca,Anti-Terrorism,MEDIAN,3.333333333
55,Pucca,Better Employment,MEDIAN,3.333333333
56,Pucca,Better Electric Supply,MEDIAN,4.444444444
57,Pucca,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
58,Pucca,Better Law and Order / Policing,MEDIAN,4.444444444
59,Pucca,Better Public Transport,MEDIAN,4.444444444
60,Pucca,Better Roads,MEDIAN,4.444444444
61,Pucca,Better Schools,MEDIAN,4.444444444
