,0,1,2,3
0,Yes,The Candidate,Important,0.3940942848492404
1,Yes,The Candidate,Not Important,0.18709148871751946
2,Yes,The Candidate,Very Important,0.3974781385242836
3,Yes,Candidate's Party,Very Important,0.2611266451762275
4,Yes,Candidate's Party,Not Important,0.2571550695470979
5,Yes,Candidate's Party,Important,0.4637126217742079
6,Yes,Candidate's Caste/Religion,Not Important,0.6299845055121195
7,Yes,Candidate's Caste/Religion,Important,0.23811644018593386
8,Yes,Candidate's Caste/Religion,Very Important,0.10281572245275962
9,Yes,Agri Loan,MEDIAN,3.333333333
10,Yes,Electricity for Agriculture,MEDIAN,3.333333333
11,Yes,Support Price for Agri Prod,MEDIAN,3.333333333
12,Yes,Irrigation Programmes,MEDIAN,3.333333333
13,Yes,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
14,Yes,Accessibility of MP,MEDIAN,3.333333333
15,Yes,Anti-Terrorism,MEDIAN,3.333333333
16,Yes,Better Employment,MEDIAN,3.333333333
17,Yes,Better Electric Supply,MEDIAN,3.333333333
18,Yes,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
19,Yes,Better Law and Order / Policing,MEDIAN,3.333333333
20,Yes,Better Public Transport,MEDIAN,3.333333333
21,Yes,Better Roads,MEDIAN,3.333333333
22,Yes,Better Schools,MEDIAN,3.333333333
23,Yes,Drinking Water,MEDIAN,3.333333333
24,Yes,Empowerment of Women,MEDIAN,3.333333333
25,Yes,Environmental issues,MEDIAN,3.333333333
26,Yes,Eradication of Corruption,MEDIAN,3.333333333
27,Yes,Reservation for Jobs and Education,MEDIAN,3.333333333
28,Yes,Security for Women,MEDIAN,3.333333333
29,Yes,Strong Defence/Military,MEDIAN,3.333333333
30,Yes,Subsidized Food Distribution,MEDIAN,3.333333333
31,Yes,Jobs Training,MEDIAN,3.333333333
32,Yes,Trustworthiness of MP,MEDIAN,3.333333333
33,Yes,Other,MEDIAN,4.444444444
34,Yes,Better Garbage Clearance,MEDIAN,3.333333333
35,Yes,Encroachment of Public Lands / Lakes etc,MEDIAN,4.444444444
36,Yes,Facility for Pedestrians and Cyclists on Roads,MEDIAN,4.444444444
37,Yes,Lower Food Prices for Consumers,MEDIAN,4.444444444
38,Yes,Traffic Congestion,MEDIAN,4.444444444
39,yes,The Candidate,Important,0.3035479632063075
40,yes,The Candidate,Not Important,0.10074463425317565
41,yes,The Candidate,Very Important,0.5957074025405169
42,yes,Candidate's Party,Very Important,0.24660534384581692
43,yes,Candidate's Party,Not Important,0.3210687691633815
44,yes,Candidate's Party,Important,0.4323258869908016
45,yes,Candidate's Caste/Religion,Not Important,0.7284275076653526
46,yes,Candidate's Caste/Religion,Important,0.20455540954883925
47,yes,Candidate's Caste/Religion,Very Important,0.06701708278580815
48,yes,Agri Loan,MEDIAN,3.333333333
49,yes,Electricity for Agriculture,MEDIAN,3.333333333
50,yes,Support Price for Agri Prod,MEDIAN,3.333333333
51,yes,Irrigation Programmes,MEDIAN,3.333333333
52,yes,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
53,yes,Accessibility of MP,MEDIAN,3.333333333
54,yes,Anti-Terrorism,MEDIAN,3.333333333
55,yes,Better Employment,MEDIAN,3.333333333
56,yes,Better Electric Supply,MEDIAN,3.333333333
57,yes,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
58,yes,Better Law and Order / Policing,MEDIAN,3.333333333
59,yes,Better Public Transport,MEDIAN,3.333333333
60,yes,Better Roads,MEDIAN,3.333333333
61,yes,Better Schools,MEDIAN,3.333333333
62,yes,Drinking Water,MEDIAN,3.333333333
63,yes,Empowerment of Women,MEDIAN,3.333333333
64,yes,Environmental issues,MEDIAN,3.333333333
65,yes,Eradication of Corruption,MEDIAN,3.333333333
66,yes,Reservation for Jobs and Education,MEDIAN,3.333333333
67,yes,Security for Women,MEDIAN,3.333333333
68,yes,Strong Defence/Military,MEDIAN,3.333333333
69,yes,Subsidized Food Distribution,MEDIAN,3.333333333
70,yes,Jobs Training,MEDIAN,3.333333333
71,yes,Trustworthiness of MP,MEDIAN,3.333333333
72,yes,Other,MEDIAN,2.222222222
73,yes,Better Garbage Clearance,MEDIAN,
74,yes,Encroachment of Public Lands / Lakes etc,MEDIAN,
75,yes,Facility for Pedestrians and Cyclists on Roads,MEDIAN,
76,yes,Lower Food Prices for Consumers,MEDIAN,
77,yes,Traffic Congestion,MEDIAN,
