,0,1,2,3
0,Telugu Desam Party,The Candidate,Important,0.4428235294117647
1,Telugu Desam Party,The Candidate,Not Important,0.20376470588235293
2,Telugu Desam Party,The Candidate,Very Important,0.34541176470588236
3,Telugu Desam Party,Candidate's Party,Very Important,0.33694117647058824
4,Telugu Desam Party,Candidate's Party,Not Important,0.3543529411764706
5,Telugu Desam Party,Candidate's Party,Important,0.2955294117647059
6,Telugu Desam Party,Candidate's Caste/Religion,Not Important,0.44
7,Telugu Desam Party,Candidate's Caste/Religion,Important,0.2687058823529412
8,Telugu Desam Party,Candidate's Caste/Religion,Very Important,0.27576470588235297
9,Telugu Desam Party,Agri Loan,MEDIAN,2.222222222
10,Telugu Desam Party,Electricity for Agriculture,MEDIAN,4.444444444
11,Telugu Desam Party,Support Price for Agri Prod,MEDIAN,4.444444444
12,Telugu Desam Party,Irrigation Programmes,MEDIAN,4.444444444
13,Telugu Desam Party,Seeds & Fertilizers Subsidy,MEDIAN,4.444444444
14,Telugu Desam Party,Accessibility of MP,MEDIAN,4.444444444
15,Telugu Desam Party,Anti-Terrorism,MEDIAN,4.444444444
16,Telugu Desam Party,Better Employment,MEDIAN,4.444444444
17,Telugu Desam Party,Better Electric Supply,MEDIAN,4.444444444
18,Telugu Desam Party,Better Hospitals / Primary Healthcare Centres,MEDIAN,4.444444444
19,Telugu Desam Party,Better Law and Order / Policing,MEDIAN,4.444444444
20,Telugu Desam Party,Better Public Transport,MEDIAN,4.444444444
21,Telugu Desam Party,Better Roads,MEDIAN,4.444444444
22,Telugu Desam Party,Better Schools,MEDIAN,4.444444444
23,Telugu Desam Party,Drinking Water,MEDIAN,4.444444444
24,Telugu Desam Party,Empowerment of Women,MEDIAN,4.444444444
25,Telugu Desam Party,Environmental issues,MEDIAN,4.444444444
26,Telugu Desam Party,Eradication of Corruption,MEDIAN,4.444444444
27,Telugu Desam Party,Reservation for Jobs and Education,MEDIAN,4.444444444
28,Telugu Desam Party,Security for Women,MEDIAN,4.444444444
29,Telugu Desam Party,Strong Defence/Military,MEDIAN,4.444444444
30,Telugu Desam Party,Subsidized Food Distribution,MEDIAN,4.444444444
31,Telugu Desam Party,Jobs Training,MEDIAN,4.444444444
32,Telugu Desam Party,Trustworthiness of MP,MEDIAN,4.444444444
33,Telugu Desam Party,Other,MEDIAN,4.444444444
34,Telugu Desam Party,Better Garbage Clearance,MEDIAN,4.444444444
35,Telugu Desam Party,Encroachment of Public Lands / Lakes etc,MEDIAN,4.444444444
36,Telugu Desam Party,Facility for Pedestrians and Cyclists on Roads,MEDIAN,4.444444444
37,Telugu Desam Party,Lower Food Prices for Consumers,MEDIAN,4.444444444
38,Telugu Desam Party,Traffic Congestion,MEDIAN,10.0
39,Indian National Congress,The Candidate,Important,0.3558209192073473
40,Indian National Congress,The Candidate,Not Important,0.20090056136314047
41,Indian National Congress,The Candidate,Very Important,0.42717156289052427
42,Indian National Congress,Candidate's Party,Very Important,0.2600122984150913
43,Indian National Congress,Candidate's Party,Not Important,0.24749568563664134
44,Indian National Congress,Candidate's Party,Important,0.47606768095530916
45,Indian National Congress,Candidate's Caste/Religion,Not Important,0.6038918532918096
46,Indian National Congress,Candidate's Caste/Religion,Important,0.24247713883323746
47,Indian National Congress,Candidate's Caste/Religion,Very Important,0.12929204768611272
48,Indian National Congress,Agri Loan,MEDIAN,3.333333333
49,Indian National Congress,Electricity for Agriculture,MEDIAN,4.444444444
50,Indian National Congress,Support Price for Agri Prod,MEDIAN,3.333333333
51,Indian National Congress,Irrigation Programmes,MEDIAN,4.444444444
52,Indian National Congress,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
53,Indian National Congress,Accessibility of MP,MEDIAN,3.333333333
54,Indian National Congress,Anti-Terrorism,MEDIAN,3.333333333
55,Indian National Congress,Better Employment,MEDIAN,3.333333333
56,Indian National Congress,Better Electric Supply,MEDIAN,4.444444444
57,Indian National Congress,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
58,Indian National Congress,Better Law and Order / Policing,MEDIAN,4.444444444
59,Indian National Congress,Better Public Transport,MEDIAN,3.333333333
