,0,1,2,3
0,Hindu,The Candidate,Important,0.356113610284635
1,Hindu,The Candidate,Not Important,0.22006153721173471
2,Hindu,The Candidate,Very Important,0.39309686525787746
3,Hindu,Candidate's Party,Very Important,0.2517745260314591
4,Hindu,Candidate's Party,Not Important,0.23544076281771378
5,Hindu,Candidate's Party,Important,0.4835088396275272
6,Hindu,Candidate's Caste/Religion,Not Important,0.5890309412350092
7,Hindu,Candidate's Caste/Religion,Important,0.23493810737532622
8,Hindu,Candidate's Caste/Religion,Very Important,0.13879383003137788
9,Hindu,Agri Loan,MEDIAN,3.333333333
10,Hindu,Electricity for Agriculture,MEDIAN,4.444444444
11,Hindu,Support Price for Agri Prod,MEDIAN,3.333333333
12,Hindu,Irrigation Programmes,MEDIAN,3.333333333
13,Hindu,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
14,Hindu,Accessibility of MP,MEDIAN,3.333333333
15,Hindu,Anti-Terrorism,MEDIAN,3.333333333
16,Hindu,Better Employment,MEDIAN,3.333333333
17,Hindu,Better Electric Supply,MEDIAN,4.444444444
18,Hindu,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
19,Hindu,Better Law and Order / Policing,MEDIAN,4.444444444
20,Hindu,Better Public Transport,MEDIAN,4.444444444
21,Hindu,Better Roads,MEDIAN,4.444444444
22,Hindu,Better Schools,MEDIAN,4.444444444
23,Hindu,Drinking Water,MEDIAN,4.444444444
24,Hindu,Empowerment of Women,MEDIAN,3.333333333
25,Hindu,Environmental issues,MEDIAN,3.333333333
26,Hindu,Eradication of Corruption,MEDIAN,3.333333333
27,Hindu,Reservation for Jobs and Education,MEDIAN,3.333333333
28,Hindu,Security for Women,MEDIAN,3.333333333
29,Hindu,Strong Defence/Military,MEDIAN,3.333333333
30,Hindu,Subsidized Food Distribution,MEDIAN,3.333333333
31,Hindu,Jobs Training,MEDIAN,3.333333333
32,Hindu,Trustworthiness of MP,MEDIAN,3.333333333
33,Hindu,Other,MEDIAN,4.444444444
34,Hindu,Better Garbage Clearance,MEDIAN,3.333333333
35,Hindu,Encroachment of Public Lands / Lakes etc,MEDIAN,4.444444444
36,Hindu,Facility for Pedestrians and Cyclists on Roads,MEDIAN,4.444444444
37,Hindu,Lower Food Prices for Consumers,MEDIAN,4.444444444
38,Hindu,Traffic Congestion,MEDIAN,4.444444444
39,Christian,The Candidate,Important,0.39858744050360817
40,Christian,The Candidate,Not Important,0.23353293413173654
41,Christian,The Candidate,Very Important,0.33532934131736525
42,Christian,Candidate's Party,Very Important,0.25134346691232917
43,Christian,Candidate's Party,Not Important,0.21510824504836482
44,Christian,Candidate's Party,Important,0.5008444649163212
45,Christian,Candidate's Caste/Religion,Not Important,0.5512052817442039
46,Christian,Candidate's Caste/Religion,Important,0.2660832181790266
47,Christian,Candidate's Caste/Religion,Very Important,0.14693689543988944
48,Christian,Agri Loan,MEDIAN,3.333333333
49,Christian,Electricity for Agriculture,MEDIAN,4.444444444
50,Christian,Support Price for Agri Prod,MEDIAN,3.333333333
51,Christian,Irrigation Programmes,MEDIAN,4.444444444
52,Christian,Seeds & Fertilizers Subsidy,MEDIAN,4.444444444
53,Christian,Accessibility of MP,MEDIAN,4.444444444
54,Christian,Anti-Terrorism,MEDIAN,4.444444444
55,Christian,Better Employment,MEDIAN,4.444444444
56,Christian,Better Electric Supply,MEDIAN,4.444444444
57,Christian,Better Hospitals / Primary Healthcare Centres,MEDIAN,4.444444444
58,Christian,Better Law and Order / Policing,MEDIAN,4.444444444
59,Christian,Better Public Transport,MEDIAN,4.444444444
60,Christian,Better Roads,MEDIAN,4.444444444
61,Christian,Better Schools,MEDIAN,4.444444444
62,Christian,Drinking Water,MEDIAN,4.444444444
63,Christian,Empowerment of Women,MEDIAN,4.444444444
64,Christian,Environmental issues,MEDIAN,4.444444444
65,Christian,Eradication of Corruption,MEDIAN,4.444444444
66,Christian,Reservation for Jobs and Education,MEDIAN,4.444444444
67,Christian,Security for Women,MEDIAN,4.444444444
68,Christian,Strong Defence/Military,MEDIAN,4.444444444
69,Christian,Subsidized Food Distribution,MEDIAN,4.444444444
70,Christian,Jobs Training,MEDIAN,4.444444444
71,Christian,Trustworthiness of MP,MEDIAN,4.444444444
72,Christian,Other,MEDIAN,4.444444444
73,Christian,Better Garbage Clearance,MEDIAN,4.444444444
74,Christian,Encroachment of Public Lands / Lakes etc,MEDIAN,4.444444444
75,Christian,Facility for Pedestrians and Cyclists on Roads,MEDIAN,4.444444444
76,Christian,Lower Food Prices for Consumers,MEDIAN,4.444444444
77,Christian,Traffic Congestion,MEDIAN,4.444444444
78,Muslim,The Candidate,Important,0.3776632989896969
79,Muslim,The Candidate,Not Important,0.22676803040912275
80,Muslim,The Candidate,Very Important,0.35240572171651496
81,Muslim,Candidate's Party,Very Important,0.22366710013003901
82,Muslim,Candidate's Party,Not Important,0.21786535960788236
83,Muslim,Candidate's Party,Important,0.5135040512153646
84,Muslim,Candidate's Caste/Religion,Not Important,0.5006501950585176
85,Muslim,Candidate's Caste/Religion,Important,0.2771331399419826
86,Muslim,Candidate's Caste/Religion,Very Important,0.17180154046213864
87,Muslim,Agri Loan,MEDIAN,3.333333333
88,Muslim,Electricity for Agriculture,MEDIAN,4.444444444
89,Muslim,Support Price for Agri Prod,MEDIAN,4.444444444
90,Muslim,Irrigation Programmes,MEDIAN,4.444444444
91,Muslim,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
92,Muslim,Accessibility of MP,MEDIAN,3.333333333
93,Muslim,Anti-Terrorism,MEDIAN,4.444444444
94,Muslim,Better Employment,MEDIAN,3.333333333
95,Muslim,Better Electric Supply,MEDIAN,4.444444444
96,Muslim,Better Hospitals / Primary Healthcare Centres,MEDIAN,4.444444444
97,Muslim,Better Law and Order / Policing,MEDIAN,4.444444444
98,Muslim,Better Public Transport,MEDIAN,4.444444444
99,Muslim,Better Roads,MEDIAN,4.444444444
100,Muslim,Better Schools,MEDIAN,4.444444444
101,Muslim,Drinking Water,MEDIAN,4.444444444
102,Muslim,Empowerment of Women,MEDIAN,3.333333333
103,Muslim,Environmental issues,MEDIAN,3.333333333
104,Muslim,Eradication of Corruption,MEDIAN,3.333333333
