,0,1,2,3
0,Female,The Candidate,Important,0.3491010189763026
1,Female,The Candidate,Not Important,0.2194798893158302
2,Female,The Candidate,Very Important,0.3976499285274022
3,Female,Candidate's Party,Very Important,0.24649521986020223
4,Female,Candidate's Party,Not Important,0.23567597340432508
5,Female,Candidate's Party,Important,0.4852136965103012
6,Female,Candidate's Caste/Religion,Not Important,0.581432861657902
7,Female,Candidate's Caste/Religion,Important,0.24379368680576502
8,Female,Candidate's Caste/Religion,Very Important,0.13451274048234169
9,Female,Agri Loan,MEDIAN,3.333333333
10,Female,Electricity for Agriculture,MEDIAN,4.444444444
11,Female,Support Price for Agri Prod,MEDIAN,4.444444444
12,Female,Irrigation Programmes,MEDIAN,4.444444444
13,Female,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
14,Female,Accessibility of MP,MEDIAN,3.333333333
15,Female,Anti-Terrorism,MEDIAN,3.333333333
16,Female,Better Employment,MEDIAN,3.333333333
17,Female,Better Electric Supply,MEDIAN,4.444444444
18,Female,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
19,Female,Better Law and Order / Policing,MEDIAN,4.444444444
20,Female,Better Public Transport,MEDIAN,4.444444444
21,Female,Better Roads,MEDIAN,4.444444444
22,Female,Better Schools,MEDIAN,4.444444444
23,Female,Drinking Water,MEDIAN,4.444444444
24,Female,Empowerment of Women,MEDIAN,3.333333333
25,Female,Environmental issues,MEDIAN,3.333333333
26,Female,Eradication of Corruption,MEDIAN,3.333333333
27,Female,Reservation for Jobs and Education,MEDIAN,3.333333333
28,Female,Security for Women,MEDIAN,3.333333333
29,Female,Strong Defence/Military,MEDIAN,3.333333333
30,Female,Subsidized Food Distribution,MEDIAN,3.333333333
31,Female,Jobs Training,MEDIAN,3.333333333
32,Female,Trustworthiness of MP,MEDIAN,3.333333333
33,Female,Other,MEDIAN,4.444444444
34,Female,Better Garbage Clearance,MEDIAN,3.333333333
35,Female,Encroachment of Public Lands / Lakes etc,MEDIAN,4.444444444
36,Female,Facility for Pedestrians and Cyclists on Roads,MEDIAN,4.444444444
37,Female,Lower Food Prices for Consumers,MEDIAN,4.444444444
38,Female,Traffic Congestion,MEDIAN,4.444444444
39,Male,The Candidate,Important,0.3563818519395397
40,Male,The Candidate,Not Important,0.22369814706358798
41,Male,The Candidate,Very Important,0.3873721199735829
42,Male,Candidate's Party,Very Important,0.2504018641512255
43,Male,Candidate's Party,Not Important,0.2367073307497726
44,Male,Candidate's Party,Important,0.4817323148621201
45,Male,Candidate's Caste/Religion,Not Important,0.5792700402487196
46,Male,Candidate's Caste/Religion,Important,0.23717461464654646
47,Male,Candidate's Caste/Religion,Very Important,0.14379260071525587
48,Male,Agri Loan,MEDIAN,3.333333333
49,Male,Electricity for Agriculture,MEDIAN,4.444444444
50,Male,Support Price for Agri Prod,MEDIAN,3.333333333
51,Male,Irrigation Programmes,MEDIAN,3.333333333
52,Male,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
53,Male,Accessibility of MP,MEDIAN,3.333333333
54,Male,Anti-Terrorism,MEDIAN,3.333333333
55,Male,Better Employment,MEDIAN,3.333333333
56,Male,Better Electric Supply,MEDIAN,4.444444444
57,Male,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
58,Male,Better Law and Order / Policing,MEDIAN,4.444444444
59,Male,Better Public Transport,MEDIAN,4.444444444
60,Male,Better Roads,MEDIAN,4.444444444
61,Male,Better Schools,MEDIAN,4.444444444
62,Male,Drinking Water,MEDIAN,4.444444444
63,Male,Empowerment of Women,MEDIAN,3.333333333
64,Male,Environmental issues,MEDIAN,3.333333333
65,Male,Eradication of Corruption,MEDIAN,3.333333333
66,Male,Reservation for Jobs and Education,MEDIAN,3.333333333
67,Male,Security for Women,MEDIAN,3.333333333
68,Male,Strong Defence/Military,MEDIAN,3.333333333
69,Male,Subsidized Food Distribution,MEDIAN,3.333333333
70,Male,Jobs Training,MEDIAN,3.333333333
71,Male,Trustworthiness of MP,MEDIAN,3.333333333
72,Male,Other,MEDIAN,4.444444444
73,Male,Better Garbage Clearance,MEDIAN,3.333333333
74,Male,Encroachment of Public Lands / Lakes etc,MEDIAN,4.444444444
75,Male,Facility for Pedestrians and Cyclists on Roads,MEDIAN,4.444444444
76,Male,Lower Food Prices for Consumers,MEDIAN,4.444444444
77,Male,Traffic Congestion,MEDIAN,4.444444444
