,0,1,2,3
0,Andhra Pradesh,The Candidate,Important,0.4250902527075812
1,Andhra Pradesh,The Candidate,Not Important,0.2774083222496675
2,Andhra Pradesh,The Candidate,Very Important,0.24752992589777692
3,Andhra Pradesh,Candidate's Party,Very Important,0.23095192855785673
4,Andhra Pradesh,Candidate's Party,Not Important,0.19622838685160554
5,Andhra Pradesh,Candidate's Party,Important,0.516245487364621
6,Andhra Pradesh,Candidate's Caste/Religion,Not Important,0.3868041041231237
7,Andhra Pradesh,Candidate's Caste/Religion,Important,0.35858825764772945
8,Andhra Pradesh,Candidate's Caste/Religion,Very Important,0.1956108683260498
9,Andhra Pradesh,Agri Loan,MEDIAN,3.333333333
10,Andhra Pradesh,Electricity for Agriculture,MEDIAN,4.444444444
11,Andhra Pradesh,Support Price for Agri Prod,MEDIAN,4.444444444
12,Andhra Pradesh,Irrigation Programmes,MEDIAN,4.444444444
13,Andhra Pradesh,Seeds & Fertilizers Subsidy,MEDIAN,4.444444444
14,Andhra Pradesh,Accessibility of MP,MEDIAN,4.444444444
15,Andhra Pradesh,Anti-Terrorism,MEDIAN,4.444444444
16,Andhra Pradesh,Better Employment,MEDIAN,4.444444444
17,Andhra Pradesh,Better Electric Supply,MEDIAN,4.444444444
18,Andhra Pradesh,Better Hospitals / Primary Healthcare Centres,MEDIAN,4.444444444
19,Andhra Pradesh,Better Law and Order / Policing,MEDIAN,4.444444444
20,Andhra Pradesh,Better Public Transport,MEDIAN,4.444444444
21,Andhra Pradesh,Better Roads,MEDIAN,4.444444444
22,Andhra Pradesh,Better Schools,MEDIAN,4.444444444
23,Andhra Pradesh,Drinking Water,MEDIAN,4.444444444
24,Andhra Pradesh,Empowerment of Women,MEDIAN,4.444444444
25,Andhra Pradesh,Environmental issues,MEDIAN,4.444444444
26,Andhra Pradesh,Eradication of Corruption,MEDIAN,4.444444444
27,Andhra Pradesh,Reservation for Jobs and Education,MEDIAN,4.444444444
28,Andhra Pradesh,Security for Women,MEDIAN,4.444444444
29,Andhra Pradesh,Strong Defence/Military,MEDIAN,4.444444444
30,Andhra Pradesh,Subsidized Food Distribution,MEDIAN,4.444444444
31,Andhra Pradesh,Jobs Training,MEDIAN,4.444444444
32,Andhra Pradesh,Trustworthiness of MP,MEDIAN,4.444444444
33,Andhra Pradesh,Other,MEDIAN,4.444444444
34,Andhra Pradesh,Better Garbage Clearance,MEDIAN,3.333333333
35,Andhra Pradesh,Encroachment of Public Lands / Lakes etc,MEDIAN,4.444444444
36,Andhra Pradesh,Facility for Pedestrians and Cyclists on Roads,MEDIAN,4.444444444
37,Andhra Pradesh,Lower Food Prices for Consumers,MEDIAN,4.444444444
38,Andhra Pradesh,Traffic Congestion,MEDIAN,4.444444444
39,ASSAM,The Candidate,Important,0.3084332612541773
40,ASSAM,The Candidate,Not Important,0.16532337330450167
41,ASSAM,The Candidate,Very Important,0.438962060153332
42,ASSAM,Candidate's Party,Very Important,0.4090819736583448
43,ASSAM,Candidate's Party,Not Important,0.17554550815804992
44,ASSAM,Candidate's Party,Important,0.32258698643601336
45,ASSAM,Candidate's Caste/Religion,Not Important,0.6164733634755258
46,ASSAM,Candidate's Caste/Religion,Important,0.15018675054059366
47,ASSAM,Candidate's Caste/Religion,Very Important,0.0682130921957932
48,ASSAM,Agri Loan,MEDIAN,3.333333333
49,ASSAM,Electricity for Agriculture,MEDIAN,3.333333333
50,ASSAM,Support Price for Agri Prod,MEDIAN,3.333333333
51,ASSAM,Irrigation Programmes,MEDIAN,3.333333333
52,ASSAM,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
53,ASSAM,Accessibility of MP,MEDIAN,3.333333333
54,ASSAM,Anti-Terrorism,MEDIAN,3.333333333
55,ASSAM,Better Employment,MEDIAN,3.333333333
56,ASSAM,Better Electric Supply,MEDIAN,3.333333333
57,ASSAM,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
58,ASSAM,Better Law and Order / Policing,MEDIAN,3.333333333
59,ASSAM,Better Public Transport,MEDIAN,3.333333333
60,ASSAM,Better Roads,MEDIAN,3.333333333
61,ASSAM,Better Schools,MEDIAN,3.333333333
62,ASSAM,Drinking Water,MEDIAN,3.333333333
63,ASSAM,Empowerment of Women,MEDIAN,3.333333333
64,ASSAM,Environmental issues,MEDIAN,3.333333333
65,ASSAM,Eradication of Corruption,MEDIAN,3.333333333
66,ASSAM,Reservation for Jobs and Education,MEDIAN,3.333333333
67,ASSAM,Security for Women,MEDIAN,3.333333333
68,ASSAM,Strong Defence/Military,MEDIAN,3.333333333
69,ASSAM,Subsidized Food Distribution,MEDIAN,3.333333333
70,ASSAM,Jobs Training,MEDIAN,3.333333333
71,ASSAM,Trustworthiness of MP,MEDIAN,3.333333333
72,ASSAM,Other,MEDIAN,3.333333333
73,ASSAM,Better Garbage Clearance,MEDIAN,3.333333333
74,ASSAM,Encroachment of Public Lands / Lakes etc,MEDIAN,3.333333333
75,ASSAM,Facility for Pedestrians and Cyclists on Roads,MEDIAN,3.333333333
76,ASSAM,Lower Food Prices for Consumers,MEDIAN,3.333333333
77,ASSAM,Traffic Congestion,MEDIAN,4.444444444
78,Bihar,The Candidate,Important,0.49791927801454
79,Bihar,The Candidate,Not Important,0.08934570067686137
80,Bihar,The Candidate,Very Important,0.4127350213085986
81,Bihar,Candidate's Party,Very Important,0.07330157934319378
82,Bihar,Candidate's Party,Not Important,0.3544748057157182
83,Bihar,Candidate's Party,Important,0.572223614941088
84,Bihar,Candidate's Caste/Religion,Not Important,0.7379794434695413
85,Bihar,Candidate's Caste/Religion,Important,0.23279017297568314
86,Bihar,Candidate's Caste/Religion,Very Important,0.029230383554775634
87,Bihar,Agri Loan,MEDIAN,3.333333333
88,Bihar,Electricity for Agriculture,MEDIAN,3.333333333
89,Bihar,Support Price for Agri Prod,MEDIAN,3.333333333
90,Bihar,Irrigation Programmes,MEDIAN,3.333333333
91,Bihar,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
92,Bihar,Accessibility of MP,MEDIAN,3.333333333
93,Bihar,Anti-Terrorism,MEDIAN,3.333333333
94,Bihar,Better Employment,MEDIAN,3.333333333
95,Bihar,Better Electric Supply,MEDIAN,3.333333333
96,Bihar,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
97,Bihar,Better Law and Order / Policing,MEDIAN,3.333333333
98,Bihar,Better Public Transport,MEDIAN,3.333333333
99,Bihar,Better Roads,MEDIAN,3.333333333
100,Bihar,Better Schools,MEDIAN,3.333333333
101,Bihar,Drinking Water,MEDIAN,3.333333333
102,Bihar,Empowerment of Women,MEDIAN,3.333333333
103,Bihar,Environmental issues,MEDIAN,3.333333333
104,Bihar,Eradication of Corruption,MEDIAN,3.333333333
105,Bihar,Reservation for Jobs and Education,MEDIAN,3.333333333
106,Bihar,Security for Women,MEDIAN,3.333333333
107,Bihar,Strong Defence/Military,MEDIAN,3.333333333
108,Bihar,Subsidized Food Distribution,MEDIAN,3.333333333
109,Bihar,Jobs Training,MEDIAN,3.333333333
110,Bihar,Trustworthiness of MP,MEDIAN,3.333333333
111,Bihar,Other,MEDIAN,
112,Bihar,Better Garbage Clearance,MEDIAN,3.333333333
113,Bihar,Encroachment of Public Lands / Lakes etc,MEDIAN,3.333333333
114,Bihar,Facility for Pedestrians and Cyclists on Roads,MEDIAN,3.333333333
115,Bihar,Lower Food Prices for Consumers,MEDIAN,3.333333333
116,Bihar,Traffic Congestion,MEDIAN,4.444444444
117,Chandigarh,The Candidate,Important,0.3838582677165354
118,Chandigarh,The Candidate,Not Important,0.13976377952755906
119,Chandigarh,The Candidate,Very Important,0.4763779527559055
120,Chandigarh,Candidate's Party,Very Important,0.31299212598425197
121,Chandigarh,Candidate's Party,Not Important,0.5570866141732284
122,Chandigarh,Candidate's Party,Important,0.12992125984251968
123,Chandigarh,Candidate's Caste/Religion,Not Important,0.7834645669291339
124,Chandigarh,Candidate's Caste/Religion,Important,0.16535433070866143
125,Chandigarh,Candidate's Caste/Religion,Very Important,0.051181102362204724
126,Chandigarh,Agri Loan,MEDIAN,
127,Chandigarh,Electricity for Agriculture,MEDIAN,
128,Chandigarh,Support Price for Agri Prod,MEDIAN,
129,Chandigarh,Irrigation Programmes,MEDIAN,
130,Chandigarh,Seeds & Fertilizers Subsidy,MEDIAN,
131,Chandigarh,Accessibility of MP,MEDIAN,2.222222222
132,Chandigarh,Anti-Terrorism,MEDIAN,2.222222222
133,Chandigarh,Better Employment,MEDIAN,2.7777777775
134,Chandigarh,Better Electric Supply,MEDIAN,2.222222222
135,Chandigarh,Better Hospitals / Primary Healthcare Centres,MEDIAN,2.222222222
136,Chandigarh,Better Law and Order / Policing,MEDIAN,2.222222222
137,Chandigarh,Better Public Transport,MEDIAN,2.222222222
138,Chandigarh,Better Roads,MEDIAN,2.222222222
139,Chandigarh,Better Schools,MEDIAN,2.222222222
140,Chandigarh,Drinking Water,MEDIAN,2.222222222
141,Chandigarh,Empowerment of Women,MEDIAN,2.222222222
142,Chandigarh,Environmental issues,MEDIAN,2.222222222
143,Chandigarh,Eradication of Corruption,MEDIAN,2.222222222
144,Chandigarh,Reservation for Jobs and Education,MEDIAN,2.222222222
145,Chandigarh,Security for Women,MEDIAN,2.222222222
146,Chandigarh,Strong Defence/Military,MEDIAN,2.222222222
147,Chandigarh,Subsidized Food Distribution,MEDIAN,2.222222222
