,0,1,2,3
0,LPG,The Candidate,Important,0.343791757977444
1,LPG,The Candidate,Not Important,0.25613341172697635
2,LPG,The Candidate,Very Important,0.36771072745737343
3,LPG,Candidate's Party,Very Important,0.25710887808006844
4,LPG,Candidate's Party,Not Important,0.21887861457052754
5,LPG,Candidate's Party,Important,0.49106045218878613
6,LPG,Candidate's Caste/Religion,Not Important,0.526257416216794
7,LPG,Candidate's Caste/Religion,Important,0.25146988080602917
8,LPG,Candidate's Caste/Religion,Very Important,0.18278635950612004
9,LPG,Agri Loan,MEDIAN,3.333333333
10,LPG,Electricity for Agriculture,MEDIAN,4.444444444
11,LPG,Support Price for Agri Prod,MEDIAN,4.444444444
12,LPG,Irrigation Programmes,MEDIAN,4.444444444
13,LPG,Seeds & Fertilizers Subsidy,MEDIAN,4.444444444
14,LPG,Accessibility of MP,MEDIAN,3.333333333
15,LPG,Anti-Terrorism,MEDIAN,4.444444444
16,LPG,Better Employment,MEDIAN,4.444444444
17,LPG,Better Electric Supply,MEDIAN,4.444444444
18,LPG,Better Hospitals / Primary Healthcare Centres,MEDIAN,4.444444444
19,LPG,Better Law and Order / Policing,MEDIAN,4.444444444
20,LPG,Better Public Transport,MEDIAN,4.444444444
21,LPG,Better Roads,MEDIAN,4.444444444
22,LPG,Better Schools,MEDIAN,4.444444444
23,LPG,Drinking Water,MEDIAN,4.444444444
24,LPG,Empowerment of Women,MEDIAN,4.444444444
25,LPG,Environmental issues,MEDIAN,4.444444444
26,LPG,Eradication of Corruption,MEDIAN,3.333333333
27,LPG,Reservation for Jobs and Education,MEDIAN,4.444444444
28,LPG,Security for Women,MEDIAN,4.444444444
29,LPG,Strong Defence/Military,MEDIAN,4.444444444
30,LPG,Subsidized Food Distribution,MEDIAN,4.444444444
31,LPG,Jobs Training,MEDIAN,4.444444444
32,LPG,Trustworthiness of MP,MEDIAN,4.444444444
33,LPG,Other,MEDIAN,4.444444444
34,LPG,Better Garbage Clearance,MEDIAN,3.333333333
35,LPG,Encroachment of Public Lands / Lakes etc,MEDIAN,4.444444444
36,LPG,Facility for Pedestrians and Cyclists on Roads,MEDIAN,4.444444444
37,LPG,Lower Food Prices for Consumers,MEDIAN,4.444444444
38,LPG,Traffic Congestion,MEDIAN,4.444444444
39,Wood,The Candidate,Important,0.3882210708117444
40,Wood,The Candidate,Not Important,0.15154576856649396
41,Wood,The Candidate,Very Important,0.44416234887737477
42,Wood,Candidate's Party,Very Important,0.24495682210708117
43,Wood,Candidate's Party,Not Important,0.25820379965457685
44,Wood,Candidate's Party,Important,0.47894645941278063
45,Wood,Candidate's Caste/Religion,Not Important,0.6649740932642487
46,Wood,Candidate's Caste/Religion,Important,0.22335060449050087
47,Wood,Candidate's Caste/Religion,Very Important,0.09099309153713299
48,Wood,Agri Loan,MEDIAN,3.333333333
49,Wood,Electricity for Agriculture,MEDIAN,3.333333333
50,Wood,Support Price for Agri Prod,MEDIAN,3.333333333
51,Wood,Irrigation Programmes,MEDIAN,3.333333333
52,Wood,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
53,Wood,Accessibility of MP,MEDIAN,3.333333333
54,Wood,Anti-Terrorism,MEDIAN,3.333333333
55,Wood,Better Employment,MEDIAN,3.333333333
56,Wood,Better Electric Supply,MEDIAN,3.333333333
57,Wood,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
58,Wood,Better Law and Order / Policing,MEDIAN,3.333333333
59,Wood,Better Public Transport,MEDIAN,3.333333333
60,Wood,Better Roads,MEDIAN,3.333333333
61,Wood,Better Schools,MEDIAN,3.333333333
62,Wood,Drinking Water,MEDIAN,3.333333333
63,Wood,Empowerment of Women,MEDIAN,3.333333333
64,Wood,Environmental issues,MEDIAN,3.333333333
65,Wood,Eradication of Corruption,MEDIAN,3.333333333
66,Wood,Reservation for Jobs and Education,MEDIAN,3.333333333
67,Wood,Security for Women,MEDIAN,3.333333333
68,Wood,Strong Defence/Military,MEDIAN,3.333333333
69,Wood,Subsidized Food Distribution,MEDIAN,3.333333333
70,Wood,Jobs Training,MEDIAN,3.333333333
71,Wood,Trustworthiness of MP,MEDIAN,3.333333333
72,Wood,Other,MEDIAN,4.444444444
73,Wood,Better Garbage Clearance,MEDIAN,3.333333333
74,Wood,Encroachment of Public Lands / Lakes etc,MEDIAN,3.333333333
75,Wood,Facility for Pedestrians and Cyclists on Roads,MEDIAN,3.333333333
76,Wood,Lower Food Prices for Consumers,MEDIAN,3.333333333
77,Wood,Traffic Congestion,MEDIAN,4.444444444
78,Kerosene,The Candidate,Important,0.3104334134416176
79,Kerosene,The Candidate,Not Important,0.3391895251512389
80,Kerosene,The Candidate,Very Important,0.31267092069279856
81,Kerosene,Candidate's Party,Very Important,0.25640175685754535
82,Kerosene,Candidate's Party,Not Important,0.1959890610756609
83,Kerosene,Candidate's Party,Important,0.5139637026601475
84,Kerosene,Candidate's Caste/Religion,Not Important,0.42504350708543964
85,Kerosene,Candidate's Caste/Religion,Important,0.29659401673986907
86,Kerosene,Candidate's Caste/Religion,Very Important,0.23767299245877185
87,Kerosene,Agri Loan,MEDIAN,3.333333333
88,Kerosene,Electricity for Agriculture,MEDIAN,4.444444444
89,Kerosene,Support Price for Agri Prod,MEDIAN,4.444444444
90,Kerosene,Irrigation Programmes,MEDIAN,4.444444444
91,Kerosene,Seeds & Fertilizers Subsidy,MEDIAN,4.444444444
92,Kerosene,Accessibility of MP,MEDIAN,3.333333333
93,Kerosene,Anti-Terrorism,MEDIAN,4.444444444
94,Kerosene,Better Employment,MEDIAN,4.444444444
95,Kerosene,Better Electric Supply,MEDIAN,4.444444444
96,Kerosene,Better Hospitals / Primary Healthcare Centres,MEDIAN,4.444444444
97,Kerosene,Better Law and Order / Policing,MEDIAN,4.444444444
98,Kerosene,Better Public Transport,MEDIAN,4.444444444
99,Kerosene,Better Roads,MEDIAN,4.444444444
100,Kerosene,Better Schools,MEDIAN,4.444444444
101,Kerosene,Drinking Water,MEDIAN,4.444444444
102,Kerosene,Empowerment of Women,MEDIAN,4.444444444
103,Kerosene,Environmental issues,MEDIAN,4.444444444
104,Kerosene,Eradication of Corruption,MEDIAN,3.333333333
105,Kerosene,Reservation for Jobs and Education,MEDIAN,4.444444444
106,Kerosene,Security for Women,MEDIAN,4.444444444
107,Kerosene,Strong Defence/Military,MEDIAN,4.444444444
108,Kerosene,Subsidized Food Distribution,MEDIAN,4.444444444
109,Kerosene,Jobs Training,MEDIAN,4.444444444
110,Kerosene,Trustworthiness of MP,MEDIAN,4.444444444
111,Kerosene,Other,MEDIAN,4.444444444
112,Kerosene,Better Garbage Clearance,MEDIAN,3.333333333
113,Kerosene,Encroachment of Public Lands / Lakes etc,MEDIAN,4.444444444
114,Kerosene,Facility for Pedestrians and Cyclists on Roads,MEDIAN,4.444444444
115,Kerosene,Lower Food Prices for Consumers,MEDIAN,4.444444444
116,Kerosene,Traffic Congestion,MEDIAN,4.444444444
117,Others,The Candidate,Important,0.3106580540976988
118,Others,The Candidate,Not Important,0.27472749293500204
119,Others,The Candidate,Very Important,0.4039160274525636
120,Others,Candidate's Party,Very Important,0.1687525232135648
121,Others,Candidate's Party,Not Important,0.3389180460234154
122,Others,Candidate's Party,Important,0.47860314897052886
123,Others,Candidate's Caste/Religion,Not Important,0.5855874041178846
124,Others,Candidate's Caste/Religion,Important,0.28825191764230923
125,Others,Candidate's Caste/Religion,Very Important,0.11102139685102948
126,Others,Agri Loan,MEDIAN,2.222222222
127,Others,Electricity for Agriculture,MEDIAN,3.333333333
128,Others,Support Price for Agri Prod,MEDIAN,4.444444444
129,Others,Irrigation Programmes,MEDIAN,4.444444444
130,Others,Seeds & Fertilizers Subsidy,MEDIAN,4.444444444
