,0,1,2,3
0,4,The Candidate,Important,0.35989697226375794
1,4,The Candidate,Not Important,0.2041539538622436
2,4,The Candidate,Very Important,0.4124566756268529
3,4,Candidate's Party,Very Important,0.24218432630059553
4,4,Candidate's Party,Not Important,0.24260784635729535
5,4,Candidate's Party,Important,0.49136105516996986
6,4,Candidate's Caste/Religion,Not Important,0.598036249859547
7,4,Candidate's Caste/Religion,Important,0.2405334624061125
8,4,Candidate's Caste/Religion,Very Important,0.13365082932141714
9,4,Agri Loan,MEDIAN,3.333333333
10,4,Electricity for Agriculture,MEDIAN,4.444444444
11,4,Support Price for Agri Prod,MEDIAN,3.333333333
12,4,Irrigation Programmes,MEDIAN,4.444444444
13,4,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
14,4,Accessibility of MP,MEDIAN,3.333333333
15,4,Anti-Terrorism,MEDIAN,3.333333333
16,4,Better Employment,MEDIAN,3.333333333
17,4,Better Electric Supply,MEDIAN,4.444444444
18,4,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
19,4,Better Law and Order / Policing,MEDIAN,4.444444444
20,4,Better Public Transport,MEDIAN,4.444444444
21,4,Better Roads,MEDIAN,4.444444444
22,4,Better Schools,MEDIAN,4.444444444
23,4,Drinking Water,MEDIAN,4.444444444
24,4,Empowerment of Women,MEDIAN,3.333333333
25,4,Environmental issues,MEDIAN,3.333333333
26,4,Eradication of Corruption,MEDIAN,3.333333333
27,4,Reservation for Jobs and Education,MEDIAN,3.333333333
28,4,Security for Women,MEDIAN,3.333333333
29,4,Strong Defence/Military,MEDIAN,3.333333333
30,4,Subsidized Food Distribution,MEDIAN,3.333333333
31,4,Jobs Training,MEDIAN,3.333333333
32,4,Trustworthiness of MP,MEDIAN,3.333333333
33,4,Other,MEDIAN,4.444444444
34,4,Better Garbage Clearance,MEDIAN,3.333333333
35,4,Encroachment of Public Lands / Lakes etc,MEDIAN,4.444444444
36,4,Facility for Pedestrians and Cyclists on Roads,MEDIAN,4.444444444
37,4,Lower Food Prices for Consumers,MEDIAN,4.444444444
38,4,Traffic Congestion,MEDIAN,4.444444444
39,3,The Candidate,Important,0.3826798349056604
40,3,The Candidate,Not Important,0.19302771226415094
41,3,The Candidate,Very Important,0.3936320754716981
42,3,Candidate's Party,Very Important,0.2289946933962264
43,3,Candidate's Party,Not Important,0.2699439858490566
44,3,Candidate's Party,Important,0.4761497641509434
45,3,Candidate's Caste/Religion,Not Important,0.6436320754716981
46,3,Candidate's Caste/Religion,Important,0.22134433962264152
47,3,Candidate's Caste/Religion,Very Important,0.09887971698113207
48,3,Agri Loan,MEDIAN,3.333333333
49,3,Electricity for Agriculture,MEDIAN,3.333333333
50,3,Support Price for Agri Prod,MEDIAN,3.333333333
51,3,Irrigation Programmes,MEDIAN,3.333333333
52,3,Seeds & Fertilizers Subsidy,MEDIAN,3.333333333
53,3,Accessibility of MP,MEDIAN,3.333333333
54,3,Anti-Terrorism,MEDIAN,3.333333333
55,3,Better Employment,MEDIAN,3.333333333
56,3,Better Electric Supply,MEDIAN,3.333333333
57,3,Better Hospitals / Primary Healthcare Centres,MEDIAN,3.333333333
58,3,Better Law and Order / Policing,MEDIAN,3.333333333
59,3,Better Public Transport,MEDIAN,3.333333333
60,3,Better Roads,MEDIAN,3.333333333
61,3,Better Schools,MEDIAN,3.333333333
62,3,Drinking Water,MEDIAN,3.333333333
63,3,Empowerment of Women,MEDIAN,3.333333333
64,3,Environmental issues,MEDIAN,3.333333333
65,3,Eradication of Corruption,MEDIAN,3.333333333
66,3,Reservation for Jobs and Education,MEDIAN,3.333333333
67,3,Security for Women,MEDIAN,3.333333333
68,3,Strong Defence/Military,MEDIAN,3.333333333
