MAPNAME,DATANAME
ADILABAD,ADILABAD
AGRA,AGRA
AHMADABAD (EAST),AHMEDABAD
AHMADABAD (WEST),DHANDHUKA
AHMADNAGAR,AHMEDNAGAR
AJMER,AJMER
AKBARPUR,AKABARPUR
AKOLA,AKOLA
ALAPPUZHA,ALLEPPEY
ALATHUR,ALATHUR
ALIGARH,ALIGARH
ALIPURDUARS,ALIPURDUARS
ALLAHABAD,ALLAHABAD
ALMORA,ALMORA
ALWAR,ALWAR
AMBALA,AMBALA
AMBEDKAR NAGAR,AMBEDKAR NAGAR
AMETHI,AMETHI
AMLAPURAM,AMALAPURAM
AMRAVATI,AMRAVATI
AMRELI,AMRELI
AMRITSAR,AMRITSAR
AMROHA,AMROHA
ANAKAPALLI,ANAKAPALLI
ANAND,ANAND
ANANDPUR SAHIB,ANANDPUR SAHIB
ANANTAPUR,ANANTAPUR
ANANTNAG,JAMMU
ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
AONLA,AONLA
ARAKKONAM,ARAKKONAM
ARAKU,ARAKU
ARAMBAG,ARAMBAGH
ARANI,ARANI
ARARIA,ARARIA
ARRAH,ARRAH
ARUNACHAL EAST,ARUNACHAL EAST
ARUNACHAL WEST,ARUNACHAL WEST
ASANSOL,ASANSOL
ASKA,ASKA
ATTINGAL,ATTINGAL
AURANGABAD,AURANGABAD
AUTONOMOUS DISTRICT,AUTONOMOUS DISTRICT
AZAMGARH,AZAMGARH
BAGALKOT,BAGALKOTE
BAGHPAT,BAGHPAT
BAHARAMPUR,BAHARAMPUR
BAHRAICH,BAHRAICH
BALAGHAT,BALAGHAT
BALESHWAR,BALASORE
BALLIA,BALLIA
BALURGHAT,BALURGHAT
BANAS KANTHA,BANASKANTHA
BANDA,BANDA
BANGALORE CENTRAL,BANGALORE CENTRAL
BANGALORE NORTH,BANGALORE NORTH
BANGALORE RURAL,BANGALORE RURAL
BANGALORE SOUTH,BANGALORE SOUTH
BANGAON,BANGAON
BANKA,BANKA
BANKURA,BANKURA
BANSGAON,BANSGAON
BANSWARA,BANSWARA
BAPATLA,BAPATLA
BARABANKI,BARABANKI
BARAKPUR,BARRACKPORE
BARAMATI,BARAMATI
BARAMULA,BARAMULLA
BARASAT,BARASAT
BARDDHAMAN - DURGAPUR,BARDDHAMAN - DURGAPUR
BARDDHAMAN PURBA,BURDWAN
BARDOLI,BARDOLI
BAREILLY,BAREILLY
BARGARH,BARGARH
BARMER,BARMER
BARPETA,BARPETA
BASIRHAT,BASIRHAT
BASTAR,BASTAR
BASTI,BASTI
BATHINDA,BATHINDA
BEED,BEED
BEGUSARAI,BEGUSARAI
BELGAUM,BELAGAUM
BELLARY,BELLARY
BERHAMPUR.,BERHAMPUR
BETUL,BETUL
BHADRAK,BHADRAK
BHAGALPUR,BHAGALPUR
BHANDARA - GONDIYA,BHANDARA-GONDIYA
BHARATPUR,BHARATPUR
BHARUCH,BROACH
BHAVNAGAR,BHAVNAGAR
BHILWARA,BHILWARA
BHIND,BHIND
BHIWANI - MAHENDRAGARH,BHIWANI-MAHENDRAGARH
BHONGIR,BHONGIR
BHOPAL,BHOPAL
BHUBANESWAR,BHUBANESWAR
BIDAR,BIDAR
BIJAPUR,BIJAPUR
BIJNOR,BIJNOR
BIKANER,BIKANER
BILASPUR,BILASPUR
BIRBHUM,BIRBHUM
BISHNUPUR,BISHNUPUR
BIWANDI,BHIWANDI
BOLANGIR,BOLANGIR
BOLPUR,BOLPUR
BUDAUN,BADAUN
BULANDSHAHR,BULANDSHAHR
BULDANA,BULDHANA
BUXAR,BUXAR
CHALAKUDY,CHALAKUDY
CHAMRAJNAGAR,CHAMARAJANAGAR
CHANDAULI,CHANDAULI
CHANDIGARH,CHANDIGARH
CHANDNI CHOWK,CHANDNI CHOWK
CHANDRAPUR,CHANDRAPUR
CHATRA,CHATRA
CHENNAI CENTRAL,CHENNAI CENTRAL
CHENNAI NORTH,MADRAS NORTH
CHENNAI SOUTH,MADRAS SOUTH
CHEVELLA,CHEVELLA
CHHINDWARA,CHHINDWARA
CHHOTA UDAIPUR,CHHOTA UDAIPUR
CHIDAMBARAM,CHIDAMBARAM
CHIKKABALLAPURA,CHIKKABALLAPUR
CHIKKODI,CHIKKODI
CHITRADURGA,CHIYTRADURGA
CHITTAURGARH,CHITTORGARH
CHITTOOR,CHITTOOR
CHURU,CHURU
COIMBATORE,COIMBATORE
CUDDALORE,CUDDALORE
CUTTACK,CUTTACK
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI
DAKSHINA KANNADA,DAKSHINA KANNADA
DAMAN & DIU,DAMAN AND DIU
DAMOH,DAMOH
DARBHANGA,DARBHANGA
DARJILING,DARJILING
DAUSA,DAUSA
DAVANAGERE,DAVANAGERE
DEORIA,DEORIA
DEWAS,DEWAS
DHANBAD,DHANBAD
DHAR,DHAR
DHARMAPURI,DHARMAPURI
DHARWAD,DHARWAD
DHAURAHRA,DHAURAHRA
DHENKANAL,DHENKANAL
DHUBRI,DHUBRI
DHULE,DHULE
DIAMOND HARBOUR,DIAMOND HARBOUR
DIBRUGARH,DIBRUGARH
DINDIGUL,DINDIGUL
DINDORI,DINDORI
DOHAD,DOHAD
DOMRIAGANJ,DOMARIYAGANJ
DUM DUM,DUM DUM
DUMKA,DUMKA
DURG,DURG
EAST DELHI,EAST DELHI
ELURU,ELURU
ERNAKULAM,ERNAKULAM
ERODE,ERODE
ETAH,ETAH
ETAWAH,ETAWAH
FAIZABAD,FAIZABAD
FARIDABAD,FARIDABAD
FARIDKOT,FARIDKOT
FARRUKHABAD,FARRUKHABAD
FATEHGARH SAHIB,FATEHGARH SAHIB
FATEHPUR,FATEHPUR
FATEHPUR SIKRI,FATEHPUR SIKRI
FIROZABAD,FIROZABAD
FIROZPUR,FEROZPUR
GANDHINAGAR,GANDHINAGAR
GANGANAGAR,GANGANAGAR
GARHCHIROLI - CHIMUR,GADCHIROLI-CHIMUR
GARHWAL,GARHWAL
GAUTAM BUDDHA NAGAR,GAUTAM BUDDH NAGAR
GAYA,GAYA
GHATAL,GHATAL
GHAZIABAD,GHAZIABAD
GHAZIPUR,GHAZIPUR
GHOSI,GHOSI
GIRIDIH,GIRIDIH
GODDA,GODDA
GONDA,GONDA
GOPALGANJ,GOPALGANJ
GORAKHPUR,GORAKHPUR
GULBARGA,GULBARGA
GUNA,GUNA
GUNTUR,GUNTUR
GURDASPUR,GURDASPUR
GURGAON,GURGAON
GUWAHATI,GAUHATI
GWALIOR,GWALIOR
HAJIPUR,HAJIPUR
HAMIRPUR,HAMIRPUR
HAORA,HOWRAH
HARDOI,HARDOI
HARDWAR,HARDWAR
HASSAN,HASSAN
HATHRAS,HATHRAS
HATKANANGLE,HATKANANGLE
HAVERI,HAVERI
HAZARIBAGH,HAZARIBAGH
HINDUPUR,HINDUPUR
HINGOLI,HINGOLI
HISAR,HISAR
HOSHANGABAD,HOSHANGABAD
HOSHIARPUR,HOSHIARPUR
HUGLI,HOOGHLY
HYDERABAD,HYDERABAD
IDUKKI,IDUKKI
INDORE,INDORE
INNER MANIPUR,INNER MANIPUR
JABALPUR,JABALPUR
JADAVPUR,JADAVPUR
JAGATSINGHPUR,JAGATSINGHPUR
JAHANABAD,JAHANABAD
JAIPUR,JAIPUR
JAIPUR RURAL,JAIPUR RURAL
JAJAPUR,JAJPUR
JALANDHAR,JALANDHAR
JALAUN,JALAUN
JALGAON,JALGAON
JALNA,JALNA
JALORE,JALORE
JALPAIGURI,JALPAIGURI
JAMMU,JAMMU
JAMNAGAR,JAMNAGAR
JAMSHEDPUR,JAMSHEDPUR
JAMUI,JAMUI
JANGIPUR,JANGIPUR
JANJGIR-CHAMPA,JANJGIR-CHAMPA
JAUNPUR,JAUNPUR
JAYNAGAR,JOYNAGAR
JHALAWAR - BARAN,JHALAWAR-BARAN
JHANJHARPUR,JHANJHARPUR
JHANSI,JHANSI
JHARGRAM,JHARGRAM
JHUNJHUNUN,JHUNJHUNU
JODHPUR,JODHPUR
JORHAT,JORHAT
JUNAGADH,JUNAGADH
KACHCHH,KUTCH
KADAPA,CUDDAPAH
KAIRANA,KAIRANA
KAISARGANJ,KAISERGANJ
KAKINADA,KAKINADA
KALAHANDI,KALAHANDI
KALIABOR,KALIABOR
KALLAKURICHI,KALLAKURICHI
KALYAN,KALYAN
KANCHEEPURAM,KANCHEEPURAM
KANDHAMAL,KANDHAMAL
KANGRA,KANGRA
KANKER,KANKER
KANNAUJ,KANNAUJ
KANNIYAKUMARI,KANNIYAKUMARI
KANNUR,KANNUR
KANPUR,KANPUR
KANTHI,KANTHI
KARAKAT,KARAKAT
KARAULI - DHAULPUR,KARAULI-DHOLPUR
KARIMGANJ,KARIMGANJ
KARIMNAGAR,KARIMNAGAR
KARNAL,KARNAL
KARUR,KARUR
KASARAGOD,KASARAGOD
KATIHAR,KATIHAR
KAUSHAMBI,KAUSHAMBI
